Unique_ID,Category_ID,Review_Header,Review_text,Rating_ID,Own_Rating_ID 
136040,4,Nice one,I liked it,101,501
134236,4,Huge battery life with amazing display,"I bought the phone on Amazon and been using my Samsung M30s for couple of weeks now. Delivery experience from Amazon - top notch. The best thing about the phone is its battery life. With normal usage, the battery works for days. With lots of gaming and app usage, it still easily works for 2 days. With 6000 mAH battery life is no problem at all. The 6.4"" super AMOLED display is awesome. The camera notch at top is minimum. Gives a very immersive experience while gaming or watching videos. With 8 core CPU, performance of gaming and other heavy apps is extremely good. The back camera is 48MP triple rear camera. What that means is you can snap photos normally and ultra-wide shots. The night mode is also good. Front camera is also good. No auto-focus for front camera. Optical image stabilisation is missing for both cameras. All in all, the camera is great in the price range. The pricing of the phone makes it a great buy. The build quality is similar to other Samsung phones. Very light weight and sleek phone. Only disadvantage I found is the speakers of this phone. No stereo support and the only speaker at the bottom is very low in volume. Verdict - With the given price range, the battery life, great camera and amazing display makes this phone a great buy !!",102,502
113945,3,Four Stars,"Awesome book at reasonable price, must buy .........",103,503
168076,2,Nice quality,good,104,504
157302,4,Nice book,"The book is fine,not bad,contains nice concepts and nicely explained. Likes its concepts.",105,505
146539,4,Nice tv,Nice tv and pic quality .good custmer srrvice my tv install 3 hours Isme home theater kaise lagega,106,506
157661,3,Beauty and the Beast,"The iPhone 7 is legitimately among the most interesting, opinionated, powerful phones Apple has ever shipped, and the most confident expressions of the company's vision in a long time. New iOS 11 is excellent, the camera is much better, and the performance is phenomenal (stay away from Android users who say I have 4 - 6 - 8 - or - 100 GB of RAM, iPhone beats everyone in limited resources). Good Stuff - Water resistance - Improved cameras - Better battery life - Great display - Taptic engine feedback is neat Bad Stuff * Trust me these are advanced features that we are not used to if you are then these are Good stuff. - Lack of headphone jack is inconvenient - Wireless audio ecosystem is immature",107,507
110329,3,"20000 mAH, what more you need","20000 mAH, what more you need. Super product",108,508
157473,4,Need more good quality,The company should give more Bettany backup and screen saver,109,509
163223,2,Good phone,Very good phone,110,510
128878,3,Good option for AI home,Good option,111,511
153393,1,Good Mobile at this price range.,Redmi note 6 pro is the best mobile at the best price available in India. no other brands are coming near to its price n performance n quality.,112,512
126986,4,Thank you,Good,113,513
151904,3,"Cool product, bad service",Product is good as expected but after sale service from the company not delivered as promised for free demo and wall mount installation.,114,514
130407,3,Four Stars,Good product 👍,115,515
128968,1,Good phone,Good phone,116,516
140983,4,Value for money and a good user interface,"I’m a fan of Alexa Fire Stick. Its a value for money thing and your TV has whole lot of good options to spend time on. Definitely recommended. Easy user interface and voice control. There’s a small lag in voice command, that can be fixed.",117,517
120379,3,Four Stars,Delivered in time. Worth reading.,118,518
112316,2,Awesome,Amazing phone,119,519
162756,3,.,Very good,120,520
165524,1,Good product at this rate.....,Wide screen and picture quality is Fine Sound quality is average Easy to connect with all apps,121,521
159823,3,Best iPhone,This is my second iPhone after SE and this is very big change for me i loved this product Trust me this is best phone in current market,122,522
130319,4,Awesome 👌,Good product in this range. Everything is good in this camera. Video quality is really awesome. Focud speed is Really Nice.,123,523
152179,2,Product not working,Product not working. Carrier not getting detected at all. Please look into it.,124,524
141242,2,Deep and motivating,"Just make a goal and work to achieve it..you'll find everything else during your journey and if you were doing it from your heart, one day you'll surely achieve your goal.",125,525
164043,2,Very good,"Very nice and fully satisfied, after discount got it for 35000",126,526
116979,3,Battery is not satisfied respect to prise ..,"Best ever phone I have used.. Gorgeous speed.. Very nice for PUBG.. It has a stunning look.. But, if there was a large battery then it will be a perfect iPhone..",127,527
147568,5,Not purchase,Not purchase if you are miui user than it is not like you better life is also not good,128,528
119959,5,Best phone as compared to other.,Compare to the Brice this phone is best phone. And it's battery is speed charging and long lasting.,129,529
153886,3,Loved it,Satisfied with this purchase. Must buy,130,530
163138,3,Good,Very good mobile,131,531
166242,3,Worst product!,Worst product!!!! Just becz of rain i got water damage!!! And apple service also waste of time !!! Thy don't provide any warranty!!! So be careful not even take it in to rain '! Becz mokka mob ✌🏼And wifi not working properly bla bla many prob waste of money 🤷🏻‍♂️,132,532
162352,5,Worth Buying,Very Good book!,133,533
